model,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Qwen2.5-1.5B-Instruct,negpos,negative,0,0.9985802334304918,0.0001799117005905198,150,15000,1.4689728840105218e-05
Qwen2.5-1.5B-Instruct,negpos,negative,1,0.9983599954448255,0.00021139950127325942,150,15000,1.726069699994428e-05
Qwen2.5-1.5B-Instruct,negpos,negative,2,0.9982760880219262,0.00018940037654918368,150,15000,1.5464475987883233e-05
Qwen2.5-1.5B-Instruct,negpos,negative,3,0.9976729038106543,0.00017251061544391763,150,15000,1.4085432768369651e-05
Qwen2.5-1.5B-Instruct,negpos,negative,4,0.9977275785314449,0.00016464324189519313,150,15000,1.3443064408028173e-05
Qwen2.5-1.5B-Instruct,negpos,negative,5,0.9978272631948231,0.00021246133489570627,150,15000,1.7347395352168475e-05
Qwen2.5-1.5B-Instruct,negpos,negative,6,0.9980606278457694,0.00016839443842391757,150,15000,1.3749348322037319e-05
Qwen2.5-1.5B-Instruct,negpos,negative,7,0.997814089014538,0.00018843642533128787,150,15000,1.5385769700523928e-05
Qwen2.5-1.5B-Instruct,negpos,negative,8,0.9979226242829817,0.0001691719552776517,150,15000,1.3812832307306081e-05
Qwen2.5-1.5B-Instruct,negpos,negative,9,0.9976823187619397,0.00020887103223209055,150,15000,1.705424836723468e-05
Qwen2.5-1.5B-Instruct,negpos,negative,10,0.9979926398221979,0.00015769558606319321,150,15000,1.2875790684799123e-05
Qwen2.5-1.5B-Instruct,negpos,negative,11,0.9979897731607856,0.00016187584447399926,150,15000,1.3217107354780873e-05
Qwen2.5-1.5B-Instruct,negpos,negative,12,0.9981333657795493,0.00015872221041764723,150,15000,1.2959614212330006e-05
Qwen2.5-1.5B-Instruct,negpos,negative,13,0.9978179221602527,0.00020383616892198,150,15000,1.6643153499420307e-05
Qwen2.5-1.5B-Instruct,negpos,negative,14,0.997766182394285,0.00025392747279986955,150,15000,2.0733091334471164e-05
Qwen2.5-1.5B-Instruct,negpos,negative,15,0.9977398061544238,0.0002510340836408026,150,15000,2.049684709890401e-05
Qwen2.5-1.5B-Instruct,negpos,negative,16,0.9979798196415586,0.00024699007610183864,150,15000,2.016665526602301e-05
Qwen2.5-1.5B-Instruct,negpos,negative,17,0.998217537340424,0.0002384543472525794,150,15000,1.946971592390838e-05
Qwen2.5-1.5B-Instruct,negpos,negative,18,0.9983039282439635,0.00026629787267815037,150,15000,2.1743130255003667e-05
Qwen2.5-1.5B-Instruct,negpos,negative,19,0.9987190446112064,0.00018328359479276917,150,15000,1.496504284884388e-05
Qwen2.5-1.5B-Instruct,negpos,negative,20,0.9987559441241864,0.00018200690805594198,150,15000,1.4860801813290363e-05
Qwen2.5-1.5B-Instruct,negpos,negative,21,0.9989925725957431,0.00014408428340026107,150,15000,1.1764432476173467e-05
