model,category,pair_slug,concat_variant,reference_variant,mean_cos,std_across_layers,n_layers,n_rows_total,pair_overall_mean
Llama-3.2-3B-Instruct,ideology,ideology__regulation_supporting__deregulation_supporting,posneg,negative,0.7333586619698186,0.14280204286824447,28,2800,0.7207773722960257
Llama-3.2-3B-Instruct,ideology,ideology__regulation_supporting__deregulation_supporting,posneg,positive,0.7317484348573388,0.13916249892859978,28,2800,0.7207773722960257
Llama-3.2-3B-Instruct,ideology,ideology__regulatory_caution__entrepreneurial_freedom,negpos,negative,0.7184683287429261,0.1527797863659294,28,2800,0.7011492766507984
Llama-3.2-3B-Instruct,ideology,ideology__regulatory_caution__entrepreneurial_freedom,negpos,positive,0.6779662639995305,0.1736474884270765,28,2800,0.7011492766507984
Llama-3.2-3B-Instruct,ideology,ideology__regulatory_caution__entrepreneurial_freedom,posneg,negative,0.7013380147450434,0.1668517293518288,28,2800,0.7011492766507984
Llama-3.2-3B-Instruct,ideology,ideology__regulatory_caution__entrepreneurial_freedom,posneg,positive,0.7068244991156936,0.15341134303032047,28,2800,0.7011492766507984
Llama-3.2-3B-Instruct,ideology,ideology__resource_conservation__resource_utilization,negpos,negative,0.7152944978660347,0.15198802127576796,28,2800,0.7173297072105858
Llama-3.2-3B-Instruct,ideology,ideology__resource_conservation__resource_utilization,negpos,positive,0.7240112616497975,0.1408040182927344,28,2800,0.7173297072105858
Llama-3.2-3B-Instruct,ideology,ideology__resource_conservation__resource_utilization,posneg,negative,0.7078940529816017,0.1568982658347436,28,2800,0.7173297072105858
Llama-3.2-3B-Instruct,ideology,ideology__resource_conservation__resource_utilization,posneg,positive,0.7221190163449094,0.1419322339096804,28,2800,0.7173297072105858
Llama-3.2-3B-Instruct,ideology,ideology__risk_averse__risk_seeking,negpos,negative,0.7152584598337658,0.15510272574975623,28,2800,0.7123650022065977
Llama-3.2-3B-Instruct,ideology,ideology__risk_averse__risk_seeking,negpos,positive,0.7031133555906136,0.16117838459447886,28,2800,0.7123650022065977
Llama-3.2-3B-Instruct,ideology,ideology__risk_averse__risk_seeking,posneg,negative,0.697856263521639,0.1686765197773156,28,2800,0.7123650022065977
Llama-3.2-3B-Instruct,ideology,ideology__risk_averse__risk_seeking,posneg,positive,0.7332319298803726,0.13976470025791748,28,2800,0.7123650022065977
Llama-3.2-3B-Instruct,ideology,ideology__security_priority__freedom_priority,negpos,negative,0.7401769614637271,0.13738545127802984,28,2800,0.7254642660147992
Llama-3.2-3B-Instruct,ideology,ideology__security_priority__freedom_priority,negpos,positive,0.7124673053833782,0.15266053455896234,28,2800,0.7254642660147992
Llama-3.2-3B-Instruct,ideology,ideology__security_priority__freedom_priority,posneg,negative,0.7119735451603054,0.15754134286746072,28,2800,0.7254642660147992
Llama-3.2-3B-Instruct,ideology,ideology__security_priority__freedom_priority,posneg,positive,0.7372392520517861,0.13429278528703664,28,2800,0.7254642660147992
Llama-3.2-3B-Instruct,ideology,ideology__social_cohesion__individual_autonomy,negpos,negative,0.7016949339508105,0.16394390450469554,28,2800,0.6956503943072031
Llama-3.2-3B-Instruct,ideology,ideology__social_cohesion__individual_autonomy,negpos,positive,0.688401446950907,0.17033855520118965,28,2800,0.6956503943072031
Llama-3.2-3B-Instruct,ideology,ideology__social_cohesion__individual_autonomy,posneg,negative,0.6947217748869471,0.16895035727565752,28,2800,0.6956503943072031
Llama-3.2-3B-Instruct,ideology,ideology__social_cohesion__individual_autonomy,posneg,positive,0.6977834214401477,0.16204947370679712,28,2800,0.6956503943072031
Llama-3.2-3B-Instruct,ideology,ideology__social_equality__outcome_inequality_acceptance,negpos,negative,0.7340438556901075,0.14112259610575817,28,2800,0.722158585895091
Llama-3.2-3B-Instruct,ideology,ideology__social_equality__outcome_inequality_acceptance,negpos,positive,0.7102577141134081,0.15289122665794377,28,2800,0.722158585895091
Llama-3.2-3B-Instruct,ideology,ideology__social_equality__outcome_inequality_acceptance,posneg,negative,0.7263861155918789,0.14589456430123568,28,2800,0.722158585895091
Llama-3.2-3B-Instruct,ideology,ideology__social_equality__outcome_inequality_acceptance,posneg,positive,0.7179466581849694,0.14708591120997713,28,2800,0.722158585895091
Llama-3.2-3B-Instruct,ideology,ideology__social_safety_net__minimal_welfare,negpos,negative,0.738422017440853,0.13764776461267839,28,2800,0.7016430635556152
Llama-3.2-3B-Instruct,ideology,ideology__social_safety_net__minimal_welfare,negpos,positive,0.6701251396420872,0.18491665367161525,28,2800,0.7016430635556152
Llama-3.2-3B-Instruct,ideology,ideology__social_safety_net__minimal_welfare,posneg,negative,0.7103484133413472,0.15549146346375634,28,2800,0.7016430635556152
