model,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Llama-3.2-3B-Instruct,negpos,negative,18,0.24840243010110824,0.08939484600459706,150,15000,0.007299058611531409
Llama-3.2-3B-Instruct,negpos,negative,19,0.24691614645390478,0.0895686908031794,150,15000,0.007313252979896864
Llama-3.2-3B-Instruct,negpos,negative,20,0.24717105888697252,0.09104050809590387,150,15000,0.0074334263586228475
Llama-3.2-3B-Instruct,negpos,negative,21,0.2418225730499095,0.09052180523609639,150,15000,0.007391074447467823
Llama-3.2-3B-Instruct,negpos,negative,22,0.2370933260685969,0.0895478552905718,150,15000,0.007311551767416265
Llama-3.2-3B-Instruct,negpos,negative,23,0.23221333872571204,0.08891254415881844,150,15000,0.007259678830726072
Llama-3.2-3B-Instruct,negpos,negative,24,0.2245586795595427,0.08801404353360603,150,15000,0.0071863165618813365
Llama-3.2-3B-Instruct,negpos,negative,25,0.22031075806251163,0.08722529568619619,150,15000,0.007121915569818912
Llama-3.2-3B-Instruct,negpos,negative,26,0.21977241022885632,0.08710384989063806,150,15000,0.007111999562134786
Llama-3.2-3B-Instruct,negpos,negative,27,0.21781283762034528,0.08920021387874794,150,15000,0.007283166965001958
Llama-3.2-3B-Instruct,negpos,positive,0,0.40088022084291836,0.13435877622450673,150,15000,0.010970348140494319
Llama-3.2-3B-Instruct,negpos,positive,1,0.36841633031697996,0.10764173500658661,150,15000,0.008788910859800629
Llama-3.2-3B-Instruct,negpos,positive,2,0.35997003879050243,0.08640537583869749,150,15000,0.007054969394607165
Llama-3.2-3B-Instruct,negpos,positive,3,0.2552216337850186,0.046964463944093184,150,15000,0.003834632423545555
Llama-3.2-3B-Instruct,negpos,positive,4,0.1223106312405334,0.04364904336261292,150,15000,0.00356392946663395
Llama-3.2-3B-Instruct,negpos,positive,5,0.14424493651489612,0.0632993164995484,150,15000,0.005168367549694327
Llama-3.2-3B-Instruct,negpos,positive,6,0.1269096847294996,0.07006535677892133,150,15000,0.0057208124251470534
Llama-3.2-3B-Instruct,negpos,positive,7,0.16933463966007042,0.08597332126674402,150,15000,0.007019692286529745
Llama-3.2-3B-Instruct,negpos,positive,8,0.1818786125444544,0.08761735781833002,150,15000,0.007153927308858763
Llama-3.2-3B-Instruct,negpos,positive,9,0.2102020079245296,0.1011468943904997,150,15000,0.00825860934413008
Llama-3.2-3B-Instruct,negpos,positive,10,0.22604031766880983,0.11256463592138402,150,15000,0.009190864036318434
Llama-3.2-3B-Instruct,negpos,positive,11,0.22460660281950975,0.10790294978926435,150,15000,0.008810238957495043
Llama-3.2-3B-Instruct,negpos,positive,12,0.21420592111518655,0.09371984706016015,150,15000,0.007652193468969016
Llama-3.2-3B-Instruct,negpos,positive,13,0.22569465830943405,0.08878802590316744,150,15000,0.007249511957725859
Llama-3.2-3B-Instruct,negpos,positive,14,0.21451971979619572,0.08549235026857326,150,15000,0.0069804211689765625
